Org,PlayerName,name_norm,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_in_list
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
MIL,Carlos Rodriguez,carlos rodriguez,,none,38.46153846153846,False
CIN,Chase Petty,chase petty,8,fuzzy,100.0,True
SFG,Mason Black,mason black,,none,54.54545454545455,False
MIN,Pierson Ohl,pierson ohl,,none,38.46153846153846,False
MIN,Travis Adams,travis adams,,none,52.17391304347826,False
NYY,Will Warren,will warren,,none,40.0,False
KCR,Noah Cameron,noah cameron,7,fuzzy,100.0,True
DET,Jackson Jobe,jackson jobe,,none,48.0,False
BOS,Hunter Dobbins,hunter dobbins,,none,48.0,False
LAD,Jack Dreyer,jack dreyer,,none,56.0,False
COL,Jaden Hill,jaden hill,,none,41.666666666666664,False
ATL,Didier Fuentes,didier fuentes,4,fuzzy,100.0,True
BOS,Luis Guerrero,luis guerrero,,none,40.0,False
LAD,Justin Wrobleski,justin wrobleski,,none,43.75,False
HOU,Colton Gordon,colton gordon,,none,42.857142857142854,False
ATH,Gunnar Hoglund,gunnar hoglund,,none,41.1764705882353,False
ATH,Jack Perkins,jack perkins,,none,41.666666666666664,False
MIL,Logan Henderson,logan henderson,12,fuzzy,100.0,True
LAA,Michael Darrell-Hicks,mike darrell hicks,,none,46.666666666666664,False
LAA,Caden Dana,caden dana,,none,52.17391304347826,False
COL,Zach Agnos,zach agnos,,none,55.55555555555556,False
TOR,Mason Fluharty,mason fluharty,,none,50.0,False
TBR,Paul Gervase,paul gervase,,none,34.78260869565217,False
CIN,Zach Maxwell,zach maxwell,,none,46.15384615384615,False
COL,Carson Palmquist,carson palmquist,,none,38.70967741935484,False
SDP,David Morgan,dave morgan,,none,43.47826086956522,False
MIL,Jacob Misiorowski,jake misiorowski,,none,44.44444444444444,False
SFG,Carson Whisenhunt,carson whisenhunt,,none,42.42424242424242,False
CHW,Shane Smith,shane smith,,none,81.81818181818181,False
NYM,Blade Tidwell,blade tidwell,,none,41.666666666666664,False
ATH,Mason Barnett,mason barnett,,none,54.54545454545455,False
LAA,Garrett McDaniels,garrett mcdaniels,,none,55.172413793103445,False
HOU,AJ Blubaugh,aj blubaugh,13,fuzzy,100.0,True
DET,Troy Melton,troy melton,,none,46.15384615384615,False
MIA,Cade Gibson,cade gibson,,none,43.47826086956522,False
TEX,Kumar Rocker,kumar rocker,,none,0.0,False
CHC,Cade Horton,cade horton,,none,52.17391304347826,False
MIA,Adam Mazur,adam mazur,,none,47.61904761904762,False
WSN,Brad Lord,brad lord,,none,45.45454545454545,False
CLE,Parker Messick,parker messick,14,fuzzy,100.0,True
PIT,Thomas Harrington,tom harrington,16,fuzzy,100.0,True
NYY,Cam Schlittler,cam schlittler,,none,50.0,False
NYM,Jonah Tong,jonah tong,3,fuzzy,100.0,True
ATH,Luis Morales,luis morales,,none,43.47826086956522,False
TOR,Jake Bloss,jake bloss,13,fuzzy,100.0,True
PIT,Hunter Barco,hunter barco,9,fuzzy,100.0,True
MIL,Craig Yoho,craig yoho,,none,45.45454545454545,False
COL,Seth Halvorsen,seth halvorsen,,none,42.857142857142854,False
COL,Chase Dollander,chase dollander,,none,55.172413793103445,False
ATL,Hurston Waldrep,hurston waldrep,,none,40.0,False
SEA,Brandyn Garcia,brandyn garcia,,none,48.275862068965516,False
LAA,Mitch Farris,mitch farris,,none,41.666666666666664,False
BOS,Connelly Early,connelly early,1,fuzzy,100.0,True
SEA,Logan Evans,logan evans,,none,66.66666666666666,False
NYM,Nolan McLean,nolan mclean,1,fuzzy,100.0,True
CLE,Andrew Walters,andy walters,,none,46.15384615384615,False
NYM,Brandon Sproat,brandon sproat,9,fuzzy,100.0,True
CIN,Rhett Lowder,rhett lowder,4,fuzzy,100.0,True
LAA,Jose Fermin,jose fermin,,none,43.47826086956522,False
CHW,Grant Taylor,grant taylor,,none,48.275862068965516,False
NYM,Jonathan Pintaro,jon pintaro,20,fuzzy,100.0,True
LAD,Roki Sasaki,roki sasaki,,none,40.0,False
LAA,Ryan Johnson,ryan johnson,4,fuzzy,100.0,True
CIN,Chase Burns,chase burns,,none,62.5,False
TOR,Trey Yesavage,trey yesavage,1,fuzzy,100.0,True
BOS,Payton Tolle,payton tolle,2,fuzzy,100.0,True
BAL,Gerald Ogando,gerald ogando,,none,53.84615384615385,False
CIN,Dalvin Rosario,dalvin rosario,,none,48.0,False
ATL,Jorge Juan,jorge juan,,none,44.44444444444444,False
