Org,PlayerName,p1500_org_rank,p1500_match_method,p1500_match_score,p1500_in_list,p1500_org_slug,p1500_source_url,p1500_scraped_date
SDP,Isaiah Lowe,12,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
CLE,Austin Peterson,,none,0.0,False,,,
LAD,Payton Martin,,none,0.0,False,,,
HOU,Michael Knorr,,none,45.45454545454546,False,,,
HOU,Andrew Taylor,36,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
KCR,Steven Zobac,14,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
SDP,Jagger Haynes,21,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
SEA,Marcelo Perez,,none,0.0,False,,,
LAD,Jackson Ferris,,none,0.0,False,,,
KCR,Henry Williams,32,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
MIN,Darren Bowen,,none,0.0,False,,,
CHW,Noah Schultz,,none,0.0,False,,,
STL,Luis Gastelum,,none,0.0,False,,,
TBR,Gary Gill Hill,,none,0.0,False,,,
TBR,Yereny Teus,,none,0.0,False,,,
LAD,Luis Carias,,none,0.0,False,,,
LAD,Samuel Sanchez,,none,0.0,False,,,
LAA,Francis Texido,,none,46.15384615384615,False,,,
COL,Sandy Ozuna,40,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
LAA,Yeferson Vargas,,none,48.275862068965516,False,,,
ATH,Yunior Tur,44,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/athletics-top-50-prospects-2026/,2026-02-05
MIA,Janero Miller,,none,0.0,False,,,
TBR,Jackson Lancaster,,none,0.0,False,,,
PHI,Mavis Graves,25,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/philadelphia-phillies-top-50-prospects-2026/,2026-02-05
MIN,Adrian  Bohorquez,,none,0.0,False,,,
ARI,Yordin Chalas,34,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
ATL,Luis Arestigueta,44,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
BOS,Jose Bello,,none,0.0,False,,,
DET,Kelvis Salcedo,,none,0.0,False,,,
LAD,Marlon Nieves,,none,0.0,False,,,
BOS,Juan Valera,,none,0.0,False,,,
TEX,Kohl Drake,11,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
CLE,Michael Kennedy,,none,0.0,False,,,
CLE,Jackson  Humphries,,none,0.0,False,,,
SEA,Jeter Martinez,,none,0.0,False,,,
PIT,David Matoma,,none,0.0,False,,,
MIA,Keyner Benitez,,none,0.0,False,,,
MIN,Jacob Wosinski,,none,0.0,False,,,
LAA,Ubaldo Soto,37,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
LAD,Jose Vasquez,,none,0.0,False,,,
SFG,Brayan Narvaez,,none,57.14285714285714,False,,,
MIA,Yohanfer Santana,,none,0.0,False,,,
TEX,Michael Valverde,,none,48.275862068965516,False,,,
MIN,Kyle Bischoff,,none,0.0,False,,,
TBR,Jose Urbina,,none,0.0,False,,,
TBR,Jose Urbina,,none,0.0,False,,,
SEA,Ashton Izzi,18,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
DET,Tanner Kohlhepp,,none,0.0,False,,,
BAL,Keeler Morfe,,none,0.0,False,,,
TEX,Kolton Curtis,35,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
SFG,Trent Harris,34,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-francisco-giants-top-50-prospects-2026/,2026-02-05
TEX,Paul Bonzagni,28,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
LAA,Camden Minacci,41,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
ARI,Hayden Durke,49,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
ARI,Roman Angelo,,none,56.00000000000001,False,,,
TEX,Skylar Hales,,none,46.15384615384615,False,,,
TEX,Ryan Lobus,,none,46.15384615384615,False,,,
PIT,Carlson Reed,,none,0.0,False,,,
HOU,Colby Langford,43,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
CIN,Sheng-En  Lin,20,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
CHW,Carson Jacobs,,none,0.0,False,,,
STL,Chen-Wei Lin,,none,0.0,False,,,
STL,Jacob Odle,,none,0.0,False,,,
ARI,Kyle Amendt,,none,52.63157894736843,False,,,
CLE,Matt Jachec,,none,0.0,False,,,
MIL,K.C. Hunt,,none,0.0,False,,,
TOR,Bo Bonds,,none,41.666666666666664,False,,,
ATH,Will Johnston,28,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/athletics-top-50-prospects-2026/,2026-02-05
MIA,Noble Meyer,,none,0.0,False,,,
CHW,Seth Keener,,none,0.0,False,,,
CHW,Christian Oppor,,none,0.0,False,,,
STL,Ixan Henderson,,none,0.0,False,,,
ATL,Lucas Braun,13,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
HOU,Ethan Pecko,10,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
BAL,Patrick Reilly,,none,0.0,False,,,
TBR,T.J. Nichols,,none,0.0,False,,,
PIT,Jaden Woods,,none,0.0,False,,,
SFG,Jacob Bresnahan,10,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-francisco-giants-top-50-prospects-2026/,2026-02-05
LAA,Barrett Kent,15,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
MIL,Tate Kuehner,,none,0.0,False,,,
ARI,Junior Ciprian,46,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/arizona-diamondbacks-top-50-prospects-2026/,2026-02-05
BAL,Ty Weatherly,,none,0.0,False,,,
SFG,Joe Whitman,15,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-francisco-giants-top-50-prospects-2026/,2026-02-05
DET,Jaden Hamm,,none,0.0,False,,,
BAL,Kiefer Lord,,none,0.0,False,,,
COL,Isaiah Coupet,,none,56.00000000000001,False,,,
COL,Jack Mahoney,49,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
COL,Jack Mahoney,49,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
KCR,Josh Hansell,38,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
HOU,James Hicks,22,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
COL,Sean Sullivan,11,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
COL,Sean Sullivan,11,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
CLE,Matt Wilkinson,,none,0.0,False,,,
CIN,Cody Adcock,,none,45.45454545454546,False,,,
SFG,Cale Lansville,,none,55.172413793103445,False,,,
MIA,Nigel Belgrave,,none,0.0,False,,,
MIA,Josh Ekness,,none,0.0,False,,,
ATH,Kade Morris,15,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/athletics-top-50-prospects-2026/,2026-02-05
BOS,Hayden Mullins,,none,0.0,False,,,
BOS,Blake Wehunt,,none,0.0,False,,,
BAL,Trey Gibson,,none,0.0,False,,,
MIA,Thomas White,,none,0.0,False,,,
TBR,Owen Wild,,none,0.0,False,,,
NYM,Jack Wenninger,,none,0.0,False,,,
LAD,Patrick Copen,,none,0.0,False,,,
BAL,Braxton Bragg,,none,0.0,False,,,
ATL,Drue Hackenberg,11,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
ATL,Garrett Baumann,12,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/atlanta-braves-top-50-prospects-2026/,2026-02-05
TOR,Landen Maroudis,37,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/toronto-blue-jays-top-50-prospects-2026/,2026-02-05
TOR,Juaron Watts-Brown,,none,45.16129032258065,False,,,
MIL,Brett Wichrowski,,none,0.0,False,,,
STL,Quinn Mathews,,none,0.0,False,,,
TBR,Ty Johnson,,none,0.0,False,,,
HOU,Jackson Nezuh,17,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
WSN,Alex Clemmey,10,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/washington-nationals-top-50-prospects-2026/,2026-02-05
LAA,George Klassen,4,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/los-angeles-angels-top-50-prospects-2026/,2026-02-05
BAL,Levi Wells,,none,0.0,False,,,
MIL,Ryan Birchard,,none,0.0,False,,,
MIN,Charlee Soto,,none,0.0,False,,,
TOR,Kai Peterson,,none,50.0,False,,,
ARI,Sam Knowlton,,none,38.46153846153846,False,,,
TBR,Jackson Baumeister,,none,0.0,False,,,
PIT,Khristian Curtis,,none,0.0,False,,,
BOS,Jojo Ingrassia,,none,0.0,False,,,
BAL,Michael Forret,,none,0.0,False,,,
NYY,Ben Shields,38,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/colorado-rockies-top-50-prospects-2026/,2026-02-05
CHC,Nick Dean,22,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/chicago-cubs-top-50-prospects-2026/,2026-02-05
BAL,Zach Fruit,,none,0.0,False,,,
CHC,Will Sanders,19,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/chicago-cubs-top-50-prospects-2026/,2026-02-05
TBR,Drew Dowd,,none,0.0,False,,,
KCR,Blake Wolters,20,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
LAD,Eriq Swan,24,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/washington-nationals-top-50-prospects-2026/,2026-02-05
TBR,Brody Hopkins,,none,0.0,False,,,
BAL,Nestor German,,none,0.0,False,,,
TOR,Grant Rogers,,none,50.0,False,,,
HOU,Alonzo Tredwell,21,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/houston-astros-top-50-prospects-2026/,2026-02-05
MIL,Bishop Letson,,none,0.0,False,,,
WSN,Travis Sykora,1,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/washington-nationals-top-50-prospects-2026/,2026-02-05
ATH,Steven Echavarria,14,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/athletics-top-50-prospects-2026/,2026-02-05
CHC,Nazier Mule,26,fuzzy,95.23809523809523,True,,https://www.prospects1500.com/top-50-lists/chicago-cubs-top-50-prospects-2026/,2026-02-05
CIN,Cole Schoenwetter,32,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
PIT,Zander Mueth,,none,0.0,False,,,
NYY,Chris Kean,,none,58.33333333333333,False,,,
DET,Paul Wilson,,none,0.0,False,,,
LAD,Hyun-Seok Jang,,none,0.0,False,,,
KCR,Hiro Wyatt,25,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/kansas-city-royals-top-50-prospects-2026/,2026-02-05
CIN,Adrian Herrera,,none,55.172413793103445,False,,,
TBR,Trevor Harrison,,none,0.0,False,,,
CHC,Jaxon Wiggins,2,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/chicago-cubs-top-50-prospects-2026/,2026-02-05
LAD,Alex Makarewich,,none,0.0,False,,,
LAD,Wyatt Crowell,,none,0.0,False,,,
STL,Branneli Franco,,none,0.0,False,,,
MIN,Yoel Roque,,none,0.0,False,,,
WSN,Jose Feliz,,none,47.61904761904761,False,,,
MIA,Kifraidy Encarnacion,,none,0.0,False,,,
HOU,Anderson Brito,,none,77.41935483870968,False,,,
SDP,Luis Maracara,37,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
COL,Gregory Sanchez,,none,46.15384615384615,False,,,
BOS,Yhoiker Fajardo,,none,0.0,False,,,
PIT,Reinold Navarro,,none,0.0,False,,,
MIA,Manuel Genao,,none,0.0,False,,,
MIA,Jose Paulino,,none,0.0,False,,,
MIA,Jose Paulino,,none,0.0,False,,,
BAL,Esteban Mejia,46,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
BAL,Esteban Mejia,46,global_fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/texas-rangers-top-50-prospects-2026/,2026-02-05
SDP,Manuel Davila,39,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,2026-02-05
LAD,Oliver Gonzalez,,none,0.0,False,,,
STL,Reiner Lopez,,none,0.0,False,,,
CIN,JeanPierre Ortiz,38,fuzzy,100.0,True,,https://www.prospects1500.com/top-50-lists/cincinnati-reds-top-50-prospects-2026/,2026-02-05
LAD,Sterling Patick,,none,0.0,False,,,
ARI,Grayson Hitt,,none,53.84615384615385,False,,,
