playerId,PlayerName,Org,Level,Age,IP,BB%,K%,GB%,ERA,xFIP,K-BB%
21461.0,Cole Sands,MIN,,25.2055555,64.2,0.08852459,0.2557377,0.396825396,6.123710858554576,4.265512372655992,
21481.0,Sean Hjelle,SFG,,25.4,100.0,0.08571429,0.18461538,0.57051282,4.86,5.148084530532361,
21504.0,Jake Irvin,WSN,,25.6194444,103.1,0.06603774,0.25235849,0.419354838,3.8322582531471614,4.077274061652041,
21513.0,Thaddeus Ward,BOS,,25.7083333,51.1,0.08920188,0.30985915,0.529411764,2.2792210050529387,3.445414455134124,
21527.0,James McArthur,PHI,,25.8055555,59.2,0.1025641,0.23809524,0.450867052,4.977653346196108,4.5879323035362445,
21584.0,Tristan Beck,SFG,,26.2694444,111.1,0.07407407,0.23868313,0.426791277,5.2544912580154906,4.699702042523052,
21649.0,Luis Medina,OAK,,23.4111111,92.2,0.14726841,0.25415677,0.495833333,5.2446041366315015,4.640911049019586,
21761.0,Jose Marte,LAA,,26.2972222,39.1,0.14204545,0.30681818,0.478260869,5.033897247303717,4.9780034981584285,
21858.0,Riley Pint,COL,,24.9027777,45.2,0.15577889,0.29145729,0.565656565,4.532846210469021,4.245909463395133,
21866.0,Jordan Balazovic,MIN,,24.0388888,72.2,0.10393258,0.21629213,0.423728813,7.678900157529521,4.661909694337316,
21894.0,Gregory Santos,SFG,,23.0916666,35.0,0.12820513,0.23717949,0.510638297,4.628571428571429,5.41422404561724,
21951.0,Joel Peguero,TBR,,25.4055555,58.1,0.12962963,0.19259259,0.488764044,4.937143277538102,5.266154041403599,
21955.0,Yerry Rodriguez,TEX,,24.9611111,59.0,0.11940299,0.27238806,0.45625,4.271186440677966,4.893885418318086,
21997.0,Luis Frias,ARI,,24.3555555,49.1,0.12272727,0.35,0.38938053,3.831081476065298,4.258569888504376,
22100.0,Jose Soriano,LAA,,23.9472222,13.0,0.07692308,0.32692308,0.517241379,2.076923076923077,3.181651134215868,
22113.0,Cole Winn,TEX,,22.85,123.2,0.14974182,0.21686747,0.39832869,6.477089481577047,6.109568926224414,
22116.0,Hagen Danner,TOR,,24.0027777,5.2,0.1,0.13333333,0.52173913,6.352937345276078,5.961812833989383,
22175.0,Max Kranick,PIT,,25.1944444,8.2,0.05555556,0.19444444,0.333333333,3.115383472668768,4.456330705512298,
22191.0,Tobias Myers,CHW,,24.1555555,80.1,0.13647643,0.15136476,0.315412186,8.066390360693333,6.63974038048539,
22192.0,Hans Crouse,PHI,,24.0444444,13.0,0.10144928,0.20289855,0.270833333,14.538461338486195,6.021348478631621,
22200.0,Ryan Rolison,COL,,25.2222222,3.1,0.05,0.2,0.307692307,10.800011072170165,6.215207567669313,
22207.0,DL Hall,BAL,,24.0333333,85.1,0.13262599,0.36870027,0.363128491,4.429687850664805,3.336588981877446,
22253.0,Sean Reynolds,MIA,,24.45,52.1,0.10762332,0.29596413,0.377952755,4.127388033607138,4.347150830020381,
22273.0,Owen White,TEX,,23.1444444,82.1,0.06886228,0.31437126,0.47761194,3.497975357351576,3.2767857279355628,
22284.0,Matt Sauer,NYY,,23.6944444,109.0,0.08955224,0.28571429,0.361313868,4.541284483135897,4.350027472214716,
22288.0,Mason Englert,TEX,,22.9166666,118.2,0.06526316,0.28631579,0.391156462,3.64044969176092,3.8229133728340665,
22294.0,Matthew Liberatore,STL,,22.9027777,121.1,0.08587786,0.23473282,0.412280701,5.118132002226128,4.3247165565883146,
22318.0,Jose E. Hernandez,LAD,,24.7527777,59.2,0.10080645,0.27822581,0.4375,3.3184354713111346,4.086128613201867,
22323.0,Angel De Jesus,DET,,25.6333333,48.2,0.10294118,0.22058824,0.386363636,4.068492725477587,5.100092321851324,
22358.0,Stephen Ridings,NYY,,27.1305555,2.0,0.0,0.5,0.5,0.0,1.0603115603327753,
22361.0,Colin Holderman,PIT,,26.9805555,24.0,0.08823529,0.34313725,0.563636363,3.75,2.832811643126085,
22461.0,Logan Gillaspie,BAL,,25.4555555,46.1,0.06896552,0.25615764,0.32330827,4.856115640996002,4.211008710553741,
22533.0,Michel Otanez,NYM,,25.2444444,45.0,0.19354839,0.26728111,0.5,4.800000015894572,5.133943978898863,
22543.0,Taj Bradley,TBR,,21.5305555,133.1,0.06203008,0.26503759,0.358381502,2.5650000978469887,4.145822018870741,
22630.0,Keider Montero,DET,,22.2361111,103.2,0.08277405,0.22595078,0.430034129,4.514469896368771,4.191457698054859,
22717.0,Angel Zerpa,KCR,,23.0111111,76.0,0.08695652,0.2173913,0.488479262,4.144736842105263,4.640759634519102,
22828.0,Juan Then,SEA,,22.65,12.0,0.09259259,0.2962963,0.28125,4.5,4.684321175764004,
22872.0,Yoendrys Gomez,NYY,,22.9611111,47.0,0.09424084,0.2565445,0.322314049,2.489361689499785,4.495550820719395,
22913.0,Francisco Morales,PHI,,22.9277777,53.0,0.19831224,0.31223629,0.424778761,4.584905660377358,4.924434436519966,
22915.0,Carlos Vargas,CLE,,22.9666666,34.1,0.11333333,0.24666667,0.612903225,3.669903252416745,4.1286023524076105,
22932.0,Prelander Berroa,SEA,,22.4527777,100.2,0.15328467,0.3649635,0.463157894,2.86092738721264,3.764309671968851,
22982.0,Jose Lopez,TBR,,23.6277777,62.1,0.15298507,0.37313433,0.462809917,2.598930693350456,3.833647801752906,
23055.0,Dedniel Nunez,NYM,,26.3222222,33.0,0.08552632,0.32236842,0.329545454,3.0,3.4342068705767232,
23091.0,Robinson Pina,LAA,,23.8472222,85.1,0.08563536,0.33701657,0.328431372,4.429687850664805,3.5110306910572384,
23165.0,Steven Cruz,MIN,,23.2944444,57.2,0.14179104,0.28731343,0.353741496,5.150288722781112,4.725554542994287,
23191.0,Michael Plassmeyer,PHI,,25.9055555,128.1,0.08671587,0.23800738,0.372832369,4.207792374560562,5.291402678349452,
23221.0,Michael Grove,LAD,,25.7861111,77.0,0.08,0.28307692,0.402985074,3.7402596476106607,4.373029576849103,
23223.0,Michael Mercado,TBR,,23.4611111,102.2,0.08089888,0.25842697,0.357894736,4.909091395498637,4.520914780661636,
23265.0,Cody Bolton,PIT,,24.2833333,76.2,0.12269939,0.25766871,0.409326424,3.052174318021601,4.7999595314701695,
23301.0,Janson Junk,LAA,,26.7111111,78.2,0.05988024,0.21856287,0.351694915,4.690678572661652,5.288107072158147,
23310.0,Damon Jones,PHI,,28.0027777,10.1,0.08333333,0.38888889,0.444444444,1.7419360197547236,3.344661469311167,
23313.0,Jose Butto,NYM,,24.5333333,130.1,0.08378871,0.25500911,0.406976744,3.5217392195534387,4.318663879043074,
23324.0,Freddy Tarnok,ATL,,23.8527777,107.2,0.09544469,0.27331887,0.361702127,4.012383711380443,4.5283480629672095,
23335.0,Joey Cantillo,CLE,,22.7861111,60.2,0.11428571,0.35510204,0.411290322,1.928571266880977,3.279788874175127,
23391.0,Ricky Vanasco,TEX,,23.9666666,93.1,0.12621359,0.28640777,0.407563025,4.628571680808568,4.272177882738964,
23394.0,PJ Poulin,COL,,26.1833333,61.2,0.09225092,0.29889299,0.435064935,4.232432083341685,3.669392784422214,
23425.0,Jared Solomon,CIN,,25.3083333,49.1,0.13274336,0.2300885,0.442857142,7.479730500889391,5.131039853209158,
23426.0,Max Lazar,MIL,,23.3277777,40.0,0.07058824,0.15294118,0.5078125,3.825,4.289893926866353,
23455.0,Hunter Stratton,PIT,,25.8722222,65.0,0.13402062,0.28178694,0.366459627,5.953846153846154,4.833417107967231,
23465.0,Tommy Romero,TBR,,25.2305555,87.1,0.09366391,0.20385675,0.366533864,3.194657097591391,5.099896436004795,
23493.0,Nick Snyder,TEX,,26.975,42.0,0.1011236,0.30898876,0.386138613,4.5,4.242444236221767,
23499.0,Keaton Winn,SFG,,24.6138888,108.0,0.06941432,0.27114967,0.524137931,4.083333261219073,3.750402544628883,
23590.0,Ben Brown,CHC,,23.0611111,104.0,0.08294931,0.34331797,0.430434782,3.375,3.1724530501721,
23631.0,Clayton Andrews,MIL,,25.7416666,10.1,0.15555556,0.42222222,0.722222222,7.838712088896256,2.66394497168121,
23809.0,Ray Kerr,SDP,,28.0583333,47.1,0.17272727,0.32727273,0.384615384,5.133803368560723,4.880619326793672,
23875.0,Omar Cruz,PIT,,23.6805555,62.2,0.09859155,0.24295775,0.364161849,5.026595336703415,5.058751161363672,
23974.0,Randy Rodriguez,SFG,,23.0722222,66.2,0.14478114,0.32659933,0.269503546,4.4549996601105,4.867446806499342,
24017.0,Jose A. Ferrer,WSN,,22.5777777,65.1,0.04296875,0.3046875,0.49375,2.479591523046982,2.915352267675062,
24094.0,Ronny Henriquez,MIN,,22.2805555,95.1,0.08009709,0.25728155,0.44486692,5.664335966541636,4.019215067973881,
24282.0,Kai-Wei Teng,SFG,,23.8333333,136.1,0.13687601,0.27214171,0.461764705,5.215158535075775,4.497435477016976,
24453.0,Justin Martinez,ARI,,21.1694444,38.0,0.13017751,0.36686391,0.426666666,3.3157894736842106,3.506805380279936,
24458.0,Carlos Duran,LAD,,21.1694444,49.2,0.11162791,0.32093023,0.391304347,4.167784808084904,3.5044113058217,
24492.0,Grayson Rodriguez,BAL,,22.875,77.0,0.09771987,0.36156352,0.417177914,3.038961575312459,3.0002616864508806,
24493.0,Adam Kloffenstein,TOR,,22.1,112.0,0.10721248,0.23001949,0.472222222,5.544642857142857,4.686096592220877,
24494.0,Simeon Woods Richardson,MIN,,22.0111111,109.1,0.08314088,0.27020785,0.438405797,2.7164635410059272,4.278741325278394,
24584.0,Jonathan Stiever,CHW,,25.3861111,3.0,0.0,0.1,0.428571428,0.0,5.4900763501723615,
24602.0,Drew Rom,BAL,,22.7944444,120.0,0.08851224,0.27118644,0.440729483,4.425,3.864755646258345,
24604.0,Austin Cox,KCR,,25.5083333,149.1,0.0764526,0.16513761,0.377083333,4.158481859583047,5.433019783321817,
24607.0,Jonathan Bowlan,KCR,,25.8333333,62.1,0.07560137,0.21305842,0.417085427,5.91978639815766,5.008706995345191,
24614.0,Victor Vodnik,ATL,,22.9777777,36.2,0.12258065,0.33548387,0.536585365,2.2090907175679018,3.275634323261293,
24681.0,Kelvin Caceres,LAA,,22.6805555,77.1,0.15882353,0.34411765,0.477124183,3.8405174939726137,4.6228468557830364,
24719.0,Randy Vasquez,NYY,,23.9111111,116.1,0.08216433,0.24248497,0.482649842,3.868195011530005,4.09475020570183,
24728.0,Mike Burrows,PIT,,22.8972222,96.1,0.07769424,0.28320802,0.338709677,3.9238756397010057,4.156213910281764,
24737.0,Gus Varland,LAD,,25.9027777,70.2,0.11419753,0.26234568,0.390625,6.113208427171301,5.003459562257169,
24750.0,Frank German,BOS,,25.025,50.2,0.095,0.325,0.439252336,2.6644741188621968,3.924515669438127,
24930.0,Ethan Roberts,CHC,,25.2416666,5.2,0.04545455,0.31818182,0.461538461,0.0,3.112837452825212,
24935.0,Chris Vallimont,BAL,,25.5361111,105.0,0.10438413,0.22129436,0.323432343,5.742857142857143,5.550542212526004,
24968.0,Reese Olson,DET,,23.1694444,119.2,0.07480315,0.33070866,0.421602787,4.136490602327786,3.0830687973256463,
24977.0,Shawn Dubin,HOU,,27.0694444,60.1,0.12451362,0.31906615,0.478571428,4.6243097821070025,3.916551804964839,
24988.0,Evan Lee,WSN,,25.2861111,40.0,0.13017751,0.28994083,0.380434782,3.375,4.321299047395587,
25327.0,Abner Uribe,MIL,,22.2805555,3.1,0.29411765,0.29411765,0.714285714,0.0,6.043911706049228,
25388.0,Cody Morris,CLE,,25.9083333,21.1,0.075,0.4875,0.44117647,1.687500251457133,1.921220564258527,
25416.0,Blair Calvo,COL,,26.5944444,37.0,0.07096774,0.31612903,0.597826086,2.918918918918919,3.0239109999424705,
25427.0,Gavin Hollowell,COL,,24.9083333,49.2,0.07291667,0.33854167,0.314814814,3.261744632414273,3.56294630374784,
25463.0,Brandon Williamson,CIN,,24.4972222,126.2,0.13888889,0.22222222,0.36158192,4.263158237108591,5.696035943587347,
25481.0,Joe La Sorsa,TBR,,24.4222222,73.1,0.03610108,0.31407942,0.473988439,2.3318183435487465,3.313088563038661,
25553.0,Nic Enright,CLE,,25.7305555,67.2,0.05639098,0.34210526,0.270967741,3.059113156778441,3.3374728564124707,
25595.0,Xzavion Curry,CLE,,24.1777777,122.0,0.08203125,0.26171875,0.330275229,4.057377049180328,4.390427727875163,
25620.0,Luis Mey,CIN,,21.2694444,43.0,0.15609756,0.28292683,0.452830188,5.651162790697675,4.583141812890075,
25636.0,Hunter Gaddis,CLE,,24.4777777,121.1,0.0831643,0.32048682,0.262411347,4.005494673403842,3.8755107564084494,
25648.0,Justin Slaten,TEX,,25.0444444,51.2,0.19512195,0.26829268,0.341085271,6.793547718314119,5.581919745369985,
25650.0,Levi Stoudt,CIN,,24.825,113.1,0.07010309,0.21443299,0.399408284,4.844117793123207,4.930400044951252,
25665.0,Cole Waites,SFG,,24.3083333,41.2,0.12790698,0.44186047,0.422535211,1.9439998516845816,2.3743210058197786,
25777.0,Peyton Battenfield,CLE,,25.1416666,153.2,0.0890625,0.1703125,0.391489361,3.631236682899239,5.269118761399344,
25862.0,Noah Davis,COL,,25.4416666,142.0,0.10177706,0.2552504,0.346560846,5.260562885661324,4.677280259928227,
25880.0,Hunter Brown,HOU,,24.0888888,111.2,0.1091314,0.31180401,0.545454545,2.498507391559333,3.652875956749355,
25911.0,Yennier Cano,BAL,,28.5611111,42.1,0.0877193,0.28654971,0.588235294,2.7637791124810778,3.268527450014887,
25928.0,Darius Vines,ATL,,24.4194444,143.2,0.07370184,0.26465662,0.431876606,3.696055553602478,4.131347384610519,
25942.0,Andrew Nardi,MIA,,24.1194444,51.0,0.09045226,0.38190955,0.382352941,2.294117647058824,3.167404703417296,
25977.0,Quinn Priester,PIT,,22.0444444,92.1,0.08290155,0.23056995,0.511904761,3.216606667078795,4.116236971286958,
26020.0,Seth Johnson,BAL,,24.0333333,27.0,0.1,0.37272727,0.310344827,3.0,3.049055150040874,
26056.0,Brandon Walter,BOS,,26.0638888,57.2,0.03004292,0.32188841,0.549295774,3.589595177843657,2.556917793563054,
26068.0,Kolton Ingram,LAA,,25.9444444,60.2,0.07172996,0.30801688,0.470149253,2.670329446450584,3.568273408069796,
26213.0,Caleb Kilian,CHC,,25.3305555,106.2,0.12343096,0.26150628,0.524475524,4.21875040233139,4.144466746236473,
26214.0,Chris Murphy,BOS,,24.3222222,152.2,0.11485452,0.22970904,0.412776412,4.06768590661426,4.852956095723062,
26215.0,Jackson Rutledge,WSN,,23.5,97.1,0.06855792,0.23404255,0.507142857,4.900685187597676,3.930189372722313,
26221.0,Ryan Pepiot,LAD,,25.1111111,97.1,0.10224439,0.29925187,0.413333333,3.236301538979597,4.627436945509619,
26226.0,Nick Robertson,LAD,,24.2083333,70.2,0.09967846,0.28617363,0.454545454,4.3301885867191,4.300662608498164,
26252.0,Erik Miller,PHI,,24.6333333,49.1,0.14953271,0.28971963,0.384615384,3.466216573582889,4.669780536711649,
26253.0,Ryne Nelson,ARI,,24.6666666,140.0,0.07730263,0.21381579,0.362559241,5.335714285714285,5.503239695940699,
26255.0,Caleb Freeman,CHW,,24.6055555,21.2,0.19230769,0.23076923,0.379310344,6.64615579639018,5.900663992432978,
26257.0,Joey Estes,OAK,,20.9805555,91.0,0.07751938,0.2377261,0.32,4.549450549450549,4.422162760548539,
