PlayerName,Org,Level,Age,xFIP,K%,BB%,IP,GB%,ERA,K-BB%,playerId,fg_pos,fg_top_100,fg_org_rk,fg_fb,fg_sl,fg_cb,fg_ch,fg_cmd,fg_fv,FA/Team,mlb_top30,mlb_top30_rank,mlb_top30_scraped_date,mlb_top30_match_method,mlb_top30_match_score,mlb_player_url,mlb_top30_source_url,mlb_top30_org_slug,mlb_year,mlb_grades_json,mlb_blurb,pitcherlist_in_list,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_blurb,pitcherlist_has_blurb,pitcherlist_blurb_article_date,pitcherlist_blurb_article_url,pitcherlist_blurb_scraped_date,pitcherlist_org_rank_pl,pitcherlist_blurb_pl,pitcherlist_has_blurb_pl,pitcherlist_blurb_article_date_pl,pitcherlist_blurb_article_url_pl,pitcherlist_blurb_scraped_date_pl,p1500_in_list,p1500_org_rank,p1500_scraped_date,p1500_match_method,p1500_match_score,p1500_source_url,p1500_org_slug,p1500_org_rank_p1500,p1500_scraped_date_p1500,p1500_source_url_p1500,p1500_org_slug_p1500,ps_AAA_Name,ps_AAA_Org,ps_AAA_Pos,ps_AAA_Age,ps_AAA_PA,ps_AAA_AB,ps_AAA_Pitches,ps_AAA_Tracked%,ps_AAA_wOBA,ps_AAA_Bat Speed,ps_AAA_Barrel %,ps_AAA_BB%,ps_AAA_Chase%,ps_AAA_EV,ps_AAA_Max EV,ps_AAA_50th% EV,ps_AAA_90th% EV,ps_AAA_Hard Hit%,ps_AAA_K%,ps_AAA_L°,ps_AAA_Whiff%,ps_AAA_Swing%,ps_AAA_Z-Swing%,ps_AAA_Z-Contact%,ps_AAA_SwStr%,ps_AAA_Pull Air%,ps_AAA_BA,ps_AAA_OBP,ps_AAA_SLG,ps_AAA_BABIP,ps_AAA_BB,ps_AAA_2B,ps_AAA_3B,ps_AAA_Hits,ps_AAA_HR,ps_AAA_K,ps_AAA_Swings,ps_AAA_Whiffs,ps_AAA_psStuff+,ps_AAA_Max Velo,ps_AAA_Barrel%,ibw_year,ibw_rank,ibw_blurb,ibw_url,ibw_match_method,ibw_match_score,xFIP_pct,K%_pct,BB%_pct,K-BB%_pct,SkillScore,_mlb_top30_rank_pct_rankscore,_pitcherlist_org_rank_pct_rankscore,_p1500_org_rank_pct_rankscore,_ibw_rank_pct_rankscore,RankSources,RankCoverage,RankScore,DynastyScore_65_35,SampleReliability,Proj_ETA_Bucket,AgeForLevel_Delta,AgeForLevel_Score,Proj_Confidence,Proj_Impact,Proj_Risk,Proj_SP_Prob,Proj_Role,Proj_DynastyUtility,_trend_key,trend_key_method
Grant Holmes,ATL,MLB,28.3388888,5.083054012242263,0.19354839,0.11290323,15.1,0.536585365,1.760869930281832,0.08064516,16944,MIRP,,19,55 / 55,60 / 60,50 / 50,,40 / 40,40,FA,False,,,none,52.17391304347826,,,,,,,False,,none,52.17391304347826,,False,,,,,,,,,,False,,,none,56.00000000000001,,,,,,,Grant Holmes,ATL,P,29.0,62.0,53.0,237.0,100.0,0.273,,,11.3,27.5,91.8,,,,45.5,19.4,11.0,26.2,45.148,52.4,73.9,11.8,,0.17,0.29,0.302,0.179,7.0,1.0,0.0,9.0,2.0,12.0,107.0,28.0,89.3,96.0,4.5,,,,,none,0,0.20207253886010368,0.07772020725388601,0.3704663212435233,0.10362694300518134,18.85,,,,,0,0.0,,18.85,0.3775,MLB,1.3388887999999994,33.93333440000001,9.4375,21.112500160000003,63.951387999999994,0.5137749999999999,Mixed,8.582083752000004,16944,playerId
Matt Krook,BAL,MLB,29.7583333,4.063484089880939,0.3,0.14782609,53.1,0.61983471,3.5437502112239727,0.15217391,19315,MIRP,,40,40 / 40,60 / 60,,40 / 40,35 / 35,35+,FA,False,,,none,50.0,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Matt Krook,ATH,P,31.0,25.0,23.0,88.0,100.0,0.332,,,8.0,25.0,98.5,,,,66.7,32.0,3.7,32.4,42.045,48.4,74.2,13.6,,0.304,0.36,0.391,0.467,2.0,2.0,0.0,7.0,0.0,8.0,37.0,12.0,92.5,91.1,0.0,,,,,none,0,0.6217616580310881,0.772020725388601,0.09326424870466321,0.46113989637305697,51.93,,,,,0,0.0,,51.93,1.0,MLB,2.7583333000000003,16.900000399999996,25.0,46.675500060000005,60.0,0.5799999999999998,Mixed,20.383975107,19315,playerId
Guillo Zuniga,LAA,MLB,25.7888888,5.134390942190104,0.22869955,0.12556054,50.0,0.448529411,5.579999973392487,0.10313901,19588,SIRP,,20,60 / 60,55 / 60,,45 / 45,40 / 40,35+,FA,False,,,none,46.666666666666664,,,,,,,False,,none,36.36363636363637,,False,,,,,,,,,,False,,,none,46.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.18652849740932642,0.27979274611398963,0.21243523316062174,0.19689119170984457,21.99,,,,,0,0.0,,21.99,1.0,MLB,-1.2111112000000013,64.53333440000002,25.0,28.37150016,35.0,0.5199999999999998,Mixed,25.423841952000004,19588,playerId
Bryan Hudson,MIL,MLB,27.2111111,4.194870207703112,0.22222222,0.11111111,39.1,0.508928571,6.40677862542708,0.11111111,19924,SIRP,,41,55 / 55,45 / 50,,,40 / 40,35+,FA,False,,,none,56.00000000000001,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Bryan Hudson,CHW,P,28.0,33.0,28.0,127.0,100.0,0.337,,,15.2,30.0,93.5,,,,38.5,21.2,0.2,26.3,44.882,51.7,80.0,11.8,,0.25,0.364,0.393,0.333,5.0,4.0,0.0,7.0,0.0,7.0,57.0,15.0,83.6,94.3,7.7,,,,,none,0,0.5284974093264249,0.22797927461139897,0.38601036269430056,0.23056994818652848,36.37,,,,,0,0.0,,36.37,0.9775,MLB,0.2111111000000001,47.4666668,24.4375,38.034500019999996,37.673611,0.5790999999999998,Mixed,25.845316719,19924,playerId
Daysbel Hernandez,ATL,MLB,27.8583333,4.00883013761863,0.31168831,0.1038961,17.2,0.522727272,3.056603223584153,0.20779221000000003,20271,SIRP,,31,60 / 60,60 / 60,,,30 / 30,35+,FA,False,,,none,66.66666666666667,,,,,,,False,,none,41.37931034482759,,False,,,,,,,,,,False,,,none,66.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.6476683937823835,0.8290155440414507,0.46113989637305697,0.8031088082901554,68.25,,,,,0,0.0,,68.25,0.43,MLB,0.8583333000000017,39.70000039999998,10.75,63.96750006,57.83333300000002,0.5571999999999999,Mixed,30.200375156999996,20271,playerId
Luis Gil,NYY,MLB,26.1416666,3.0860163617951986,0.38709677,0.11290323,14.1,0.448275862,5.651160284015618,0.27419353999999996,21052,SIRP,,12,60 / 70,55 / 55,,30 / 30,35 / 35,40+,FA,False,,,none,33.333333333333336,,,,,,,False,,none,33.33333333333333,,False,,,,,,,,,,False,,,none,44.44444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.9222797927461139,0.9740932642487047,0.3704663212435233,0.927461139896373,81.49,,,,,0,0.0,,81.49,0.3525,MLB,-0.8583333999999994,60.30000079999999,8.8125,78.31150011999999,51.1875,0.594675,Mixed,41.384550214,21052,playerId
Daniel Robert,TEX,NAN,29.9,3.9931304093170072,0.28187919,0.08053691,33.0,0.34090909,3.272726303290032,0.20134227999999998,21229,SIRP,,31,55 / 55,60 / 60,,,40 / 40,35+,FA,False,,,none,45.45454545454546,,,,,,,False,,none,0.0,,False,,,,,,,,,,False,,,none,57.14285714285714,,,,,,,Daniel Robert,FA,P,31.0,17.0,13.0,65.0,100.0,0.501,,,17.6,32.4,92.8,,,,50.0,35.3,9.5,34.5,44.615,58.1,66.7,15.4,,0.462,0.529,0.692,0.714,3.0,0.0,0.0,6.0,1.0,6.0,29.0,10.0,105.4,96.2,12.5,,,,,none,0,0.75,0.95,0.85,1.0,86.95,,,,,0,0.0,,86.95,0.825,Unknown,,,20.625,81.4075,39.375,0.5729999999999998,Mixed,44.852125,21229,playerId
Allan Winans,ATL,NAN,28.9555555,3.9723749852458816,0.2489083,0.07641921,113.2,0.444816053,2.058651176086075,0.17248909,21238,SP,,24,30 / 30,50 / 50,,60 / 60,40 / 50,35+,FA,False,,,none,48.0,,,,,,,False,,none,46.15384615384615,,False,,,,,,,,,,False,,,none,48.0,,,,,,,Allan Winans,FA,P,30.0,61.0,51.0,232.0,100.0,0.374,,,13.1,35.5,89.3,,,,39.1,14.8,1.4,28.3,45.494,52.1,78.1,12.9,,0.275,0.393,0.451,0.282,8.0,0.0,0.0,14.0,3.0,9.0,106.0,30.0,89.7,92.1,13.0,,,,,none,0,0.85,0.75,0.9,0.9,84.17,,,,,0,0.0,,84.17,1.0,Unknown,,,25.0,79.0445,35.0,0.5799999999999998,Mixed,45.320025,21238,playerId
Jacob Latz,TEX,MLB,28.2944444,4.514564294020809,0.34285714,0.15714286,15.2,0.454545454,1.7234039056242465,0.18571428,21306,SIRP,,22,55 / 55,50 / 50,45 / 45,65 / 65,40 / 40,40,FA,False,,,none,43.47826086956522,,,,,,,False,,none,0.0,,False,,,,,,,,,,False,,,none,47.61904761904761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.37823834196891193,0.9067357512953368,0.08290155440414504,0.6476683937823834,50.43,,,,,0,0.0,,50.43,0.38,MLB,1.2944443999999997,34.4666672,9.5,48.035500080000006,63.444444,0.5551999999999999,Mixed,20.892641876,21306,playerId
Stephen Kolek,SDP,MLB,27.2666666,4.476312563674043,0.18088737,0.07167235,63.1,0.572769953,5.257895000753654,0.10921502,21487,SIRP,,16,55 / 55,50 / 50,,30 / 30,40 / 40,40,FA,False,,,none,41.666666666666664,,,,,,,False,,none,33.33333333333333,,False,,,,,,,,,,False,,,none,43.47826086956522,,,,,,,Stephen Kolek,KCR,P,28.0,72.0,66.0,258.0,100.0,0.286,,,8.3,24.7,89.1,,,,42.5,16.7,3.9,15.8,46.512,58.0,88.8,7.4,,0.258,0.319,0.318,0.315,6.0,2.0,1.0,17.0,0.0,12.0,120.0,19.0,93.6,95.9,7.5,,,,,none,0,0.39896373056994816,0.05699481865284974,0.7772020725388601,0.22279792746113988,35.86,,,,,0,0.0,,35.86,1.0,MLB,0.26666660000000064,46.80000079999999,25.0,37.50100012,37.666666000000006,0.5799999999999998,Mixed,25.585450314,21487,playerId
