PlayerName,Org,Level,Age,xFIP,K%,BB%,IP,GB%,ERA,K-BB%,playerId,fg_pos,fg_top_100,fg_org_rk,fg_fb,fg_sl,fg_cb,fg_ch,fg_cmd,fg_fv,FA/Team,mlb_top30,mlb_top30_rank,mlb_top30_scraped_date,mlb_top30_match_method,mlb_top30_match_score,mlb_player_url,mlb_top30_source_url,mlb_top30_org_slug,mlb_year,mlb_grades_json,mlb_blurb,pitcherlist_in_list,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_blurb,pitcherlist_has_blurb,pitcherlist_blurb_article_date,pitcherlist_blurb_article_url,pitcherlist_blurb_scraped_date,pitcherlist_org_rank_pl,pitcherlist_blurb_pl,pitcherlist_has_blurb_pl,pitcherlist_blurb_article_date_pl,pitcherlist_blurb_article_url_pl,pitcherlist_blurb_scraped_date_pl,p1500_in_list,p1500_org_rank,p1500_scraped_date,p1500_match_method,p1500_match_score,p1500_source_url,p1500_org_slug,p1500_org_rank_p1500,p1500_scraped_date_p1500,p1500_source_url_p1500,p1500_org_slug_p1500,ps_AAA_Name,ps_AAA_Org,ps_AAA_Pos,ps_AAA_Age,ps_AAA_PA,ps_AAA_AB,ps_AAA_Pitches,ps_AAA_Tracked%,ps_AAA_wOBA,ps_AAA_Bat Speed,ps_AAA_Barrel %,ps_AAA_BB%,ps_AAA_Chase%,ps_AAA_EV,ps_AAA_Max EV,ps_AAA_50th% EV,ps_AAA_90th% EV,ps_AAA_Hard Hit%,ps_AAA_K%,ps_AAA_L°,ps_AAA_Whiff%,ps_AAA_Swing%,ps_AAA_Z-Swing%,ps_AAA_Z-Contact%,ps_AAA_SwStr%,ps_AAA_Pull Air%,ps_AAA_BA,ps_AAA_OBP,ps_AAA_SLG,ps_AAA_BABIP,ps_AAA_BB,ps_AAA_2B,ps_AAA_3B,ps_AAA_Hits,ps_AAA_HR,ps_AAA_K,ps_AAA_Swings,ps_AAA_Whiffs,ps_AAA_psStuff+,ps_AAA_Max Velo,ps_AAA_Barrel%,ibw_year,ibw_rank,ibw_blurb,ibw_url,ibw_match_method,ibw_match_score,xFIP_pct,K%_pct,BB%_pct,K-BB%_pct,SkillScore,_mlb_top30_rank_pct_rankscore,_pitcherlist_org_rank_pct_rankscore,_p1500_org_rank_pct_rankscore,_ibw_rank_pct_rankscore,RankSources,RankCoverage,RankScore,DynastyScore_65_35,SampleReliability,Proj_ETA_Bucket,AgeForLevel_Delta,AgeForLevel_Score,Proj_Confidence,Proj_Impact,Proj_Risk,Proj_SP_Prob,Proj_Role,Proj_DynastyUtility,_trend_key,trend_key_method
Alex Speas,HOU,AAA,26.3888888,6.384208488599821,0.19354839,0.20967742,22.0,0.405797101,9.818181818181818,-0.016129030000000016,21859,SIRP,,32,60 / 60,60 / 60,,,20 / 20,35+,FA,False,,,none,52.17391304347826,,,,,,,False,,none,43.47826086956522,,False,,,,,,,,,,False,,,none,76.19047619047619,,,,,,,Alex Speas,FA,P,27.0,26.0,20.0,98.0,100.0,0.463,,,23.1,23.9,89.6,,,,33.3,15.4,12.1,31.6,38.776,51.9,77.8,12.2,,0.25,0.423,0.7,0.154,6.0,0.0,0.0,5.0,3.0,4.0,38.0,12.0,110.7,99.3,20.0,,,,,none,0,0.04201680672268904,0.1092436974789916,0.01680672268907568,0.025210084033613446,5.23,,,,,0,0.0,,5.23,0.55,0–1 yr,1.3888888000000001,33.3333344,13.750000000000002,9.445500160000002,60.138888,0.5464999999999999,Mixed,4.646308752000001,21859,playerId
Sauryn Lao,LAD,NAN,24.9444444,4.4957455649793365,0.25465839,0.06521739,79.1,0.37735849,2.8361342264917337,0.18944100000000003,21922,SIRP,,36,55 / 55,60 / 70,,40 / 50,30 / 35,40,FA,False,,,none,45.45454545454546,,,,,,,False,,none,45.45454545454545,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Sauryn Lao,FA,P,26.0,18.0,18.0,57.0,100.0,0.266,,,0.0,33.3,104.9,,,,80.0,38.9,8.0,46.9,56.14,57.4,54.8,26.3,,0.278,0.278,0.333,0.455,0.0,1.0,0.0,5.0,0.0,7.0,32.0,15.0,88.3,94.6,20.0,,,,,none,0,0.6,0.85,0.95,0.95,80.56,,,,,0,0.0,,80.56,1.0,Unknown,,,25.0,75.976,35.0,0.5799999999999998,Mixed,43.9392,21922,playerId
Juan Morillo,LAD,MLB,25.3472222,4.135182191963707,0.26315789,0.0877193,28.0,0.594202898,1.9285714285714288,0.17543859,21924,SIRP,,44,70 / 70,50 / 50,,,30 / 35,35+,FA,False,,,none,43.47826086956522,,,,,,,False,,none,41.666666666666664,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Juan Morillo,ARI,P,26.0,24.0,23.0,91.0,100.0,0.155,,,4.2,37.2,87.3,,,,36.4,41.7,18.4,34.0,51.648,64.6,74.2,17.6,,0.13,0.167,0.174,0.231,1.0,1.0,0.0,3.0,0.0,10.0,47.0,16.0,115.6,101.0,9.1,,,,,none,0,0.5751295336787565,0.533678756476684,0.6243523316062176,0.5803108808290155,57.54,,,,,0,0.0,,57.54,0.7,MLB,-1.652777799999999,69.83333359999999,17.5,59.384000040000004,42.5,0.5679999999999998,Mixed,37.814466738,21924,playerId
Cole Winn,TEX,MLB,24.6638888,5.061461598884978,0.19852941,0.13235294,34.1,0.523255813,1.572815231805486,0.06617646999999999,22113,SIRP,,23,50 / 50,55 / 55,,,30 / 40,40,FA,False,,,none,63.63636363636363,,,,,,,False,,none,0.0,,False,,,,,,,,,,False,,,none,54.54545454545454,,,,,,,Cole Winn,TEX,P,26.0,18.0,14.0,72.0,100.0,0.463,,,22.2,22.5,91.8,,,,57.1,11.1,9.1,36.7,41.667,65.6,81.0,15.3,,0.357,0.5,0.571,0.364,4.0,0.0,0.0,5.0,1.0,2.0,30.0,11.0,103.1,97.2,0.0,,,,,none,0,0.21243523316062174,0.10362694300518134,0.13989637305699487,0.06217616580310881,14.1,,,,,0,0.0,,14.1,0.8525,MLB,-2.3361112000000013,78.03333440000002,21.3125,23.690000160000004,38.6875,0.5185249999999998,Mixed,24.726541952000005,22113,playerId
Hagen Danner,TOR,AAA,25.8166666,4.938829992479162,0.2037037,0.08518519,59.2,0.472826086,6.033520412960112,0.11851851,22116,SIRP,,23,55 / 55,60 / 60,,,40 / 40,40,FA,False,,,none,50.0,,,,,,,False,,none,41.666666666666664,,False,,,,,,,,,,False,,,none,50.0,,,,,,,Hagen Danner,CIN,P,27.0,18.0,15.0,65.0,100.0,0.391,,,11.1,26.1,83.0,,,,33.3,5.6,'-4.1,16.1,47.692,59.5,92.0,7.7,,0.4,0.444,0.467,0.4,2.0,1.0,0.0,6.0,0.0,1.0,31.0,5.0,90.8,96.7,0.0,,,,,none,0,0.2857142857142857,0.25210084033613445,0.8151260504201681,0.42857142857142855,41.78,,,,,0,0.0,,41.78,1.0,0–1 yr,0.8166666000000014,40.200000799999984,25.0,41.54300012,43.16666600000001,0.5599999999999998,Mixed,25.259350313999995,22116,playerId
Sean Reynolds,SDP,NAN,26.2638888,6.770649201526276,0.18333333,0.18333333,28.1,0.472972972,2.858823850163162,0.0,22253,SIRP,,22,55 / 55,50 / 55,,45 / 50,30 / 40,35+,FA,False,,,none,56.00000000000001,,,,,,,False,,none,56.0,,False,,,,,,,,,,False,,,none,56.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.0,0.2,0.19999999999999996,0.225,13.75,,,,,0,0.0,,13.75,0.7025,Unknown,,,17.5625,19.1875,42.4375,0.5170249999999998,Mixed,15.781250000000002,22253,playerId
Owen White,TEX,NAN,24.9583333,5.203893838219699,0.18767507,0.1232493,84.0,0.464135021,4.285714285714286,0.06442577,22273,SP,,17,35 / 35,55 / 55,50 / 50,45 / 50,45 / 45,40,FA,False,,,none,41.666666666666664,,,,,,,False,,none,0.0,,False,,,,,,,,,,False,,,none,43.47826086956522,,,,,,,Owen White,FA,P,26.0,11.0,10.0,52.0,100.0,0.177,,,9.1,39.1,73.3,,,,0.0,18.2,23.4,20.0,48.077,55.2,81.3,9.6,,0.1,0.182,0.2,0.125,1.0,1.0,0.0,1.0,0.0,2.0,25.0,5.0,98.3,93.7,0.0,,,,,none,0,0.5,0.3,0.55,0.4,43.89,,,,,0,0.0,,43.89,1.0,Unknown,,,25.0,44.8065,35.0,0.5199999999999998,Mixed,29.912925,22273,playerId
Keider Montero,DET,MLB,24.05,4.194765432400107,0.24793388,0.08677686,56.2,0.433121019,5.241176000152947,0.16115701999999998,22630,SP,,22,55 / 60,50 / 50,50 / 50,40 / 40,40 / 40,35+,FA,False,,,none,55.172413793103445,,,,,,,False,,none,55.172413793103445,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Keider Montero,DET,P,25.0,60.0,54.0,234.0,100.0,0.289,,,10.0,26.1,90.1,,,,39.4,28.3,7.6,28.2,44.017,60.2,81.1,12.4,,0.222,0.3,0.352,0.306,6.0,2.0,1.0,12.0,1.0,17.0,103.0,29.0,105.1,97.2,12.1,,,,,none,0,0.533678756476684,0.43005181347150256,0.6373056994818653,0.49740932642487046,52.19,,,,,0,0.0,,52.19,1.0,MLB,-2.9499999999999993,85.39999999999999,25.0,57.171499999999995,35.0,0.5799999999999998,Mixed,42.557175,22630,playerId
Yoendrys Gomez,NYY,MLB,24.775,4.008687208852744,0.30290456,0.10373444,58.0,0.369565217,1.7068964955922985,0.19917012,22872,MIRP,,23,55 / 55,50 / 50,50 / 50,40 / 45,40 / 45,40,FA,False,,,none,44.44444444444444,,,,,,,False,,none,44.44444444444444,,False,,,,,,,,,,False,,,none,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.6528497409326425,0.7772020725388601,0.46632124352331605,0.7512953367875648,66.24,,,,,0,0.0,,66.24,1.0,MLB,-2.2250000000000014,76.70000000000002,25.0,67.809,35.0,0.5799999999999998,Mixed,45.60405,22872,playerId
Carlos Vargas,SEA,MLB,24.7805555,4.203748819571955,0.16216216,0.08108108,8.2,0.615384615,5.19230578778128,0.08108108,22915,SIRP,,29,60 / 60,55 / 60,,,30 / 30,35+,FA,False,,,none,52.17391304347826,,,,,,,False,,none,52.17391304347826,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Carlos Vargas,SEA,P,26.0,37.0,34.0,141.0,100.0,0.274,,,8.1,31.6,86.0,,,,33.3,16.2,'-3.5,21.7,48.936,60.7,84.3,10.6,,0.206,0.27,0.353,0.222,3.0,2.0,0.0,7.0,1.0,6.0,69.0,15.0,110.6,98.3,11.1,,,,,none,0,0.5233160621761659,0.03626943005181347,0.6709844559585492,0.11398963730569948,35.26,,,,,0,0.0,,35.26,0.205,MLB,-2.2194445000000016,76.63333400000002,5.125,41.4660001,54.875,0.5481999999999999,Mixed,26.780116845000006,22915,playerId
Prelander Berroa,CHW,MLB,24.2666666,17.3552648104872,0.2,0.2,0.1,0.333333333,54.00053912939454,0.0,22932,SIRP,,12,70 / 70,60 / 60,,,30 / 35,40+,FA,False,,,none,0.0,,,,,,,False,,none,51.851851851851855,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.0,0.12694300518134716,0.010362694300518172,0.023316062176165803,4.15,,,,,0,0.0,,4.15,0.0025,MLB,-2.7333333999999994,82.80000079999999,0.0625,15.947500119999999,59.9375,0.510025,Mixed,14.758250213999998,22932,playerId
Dedniel Nunez,NYM,MLB,28.1361111,4.193383462939943,0.24742268,0.11340206,21.0,0.409836065,4.285714285714286,0.13402062,23055,SIRP,,33,55 / 60,55 / 60,45 / 45,40 / 40,40 / 40,35+,FA,False,,,none,43.75,,,,,,,False,,none,41.666666666666664,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.538860103626943,0.42487046632124353,0.3575129533678757,0.35751295336787564,43.67,,,,,0,0.0,,43.67,0.525,MLB,1.1361111000000008,36.36666679999999,13.125,42.57450002,58.23611100000001,0.5609999999999998,Mixed,20.321441719,23055,playerId
Eduarniel Nunez,CHC,MLB,25.1305555,3.653585582593047,0.35348837,0.14418605,52.2,0.538461538,2.5632909845224825,0.20930232,23162,SIRP,,39,60 / 60,,70 / 70,,20 / 20,35+,FA,True,15,2026-01-30,global_fuzzy,100.0,https://www.mlb.com/milb/prospects/2025/athletics/eduarniel-nunez-674384,https://www.mlb.com/milb/prospects/2025/athletics/,athletics,2025,"{""Fastball"": 60, ""Slider"": 70, ""Control"": 40, ""Overall"": 40}","It feels like every year the Padres manage to develop another couple high-octane relief prospects, and this year’s best example is Núñez, who was in the Cubs system from 2017 to 2024 before signing as a Minor League free agent with San Diego last offseason. The right-hander opened 2025 with Double-A San Antonio, moved up to Triple-A El Paso in June and got his first long-awaited taste of the Majors one month later just after he turned 26 years old before being included in the prospect package the A’s received from the Padres in return for Mason Miller and JP Sears at the Trade Deadline. Pitching exclusively out of the stretch, Núñez has the goal to blow both of his pitches past batters, starting with a 97-99 mph heater that has touched as high as 101.4 mph in front of Statcast this season. It’s pure velo over movement here, and Núñez gets minimal extension under six feet (allowing batters to see the fastball a little longer), but it’s still enough to make for an uncomfortable at-bat. The Dominican Republic native’s upper-80s slider is an even better pitch, getting good depth while still being thrown hard, and it’s posted whiff and chase rates above 40 percent in the Minors during Núñez’s time in the San Diego system. Plenty of left-handed hitters have been fooled by the breaking ball too, but without a quality changeup, Núñez has drastic handedness splits. Núñez’s desire to show explosive stuff can lead to inconsistencies in his delivery, and while his control numbers were much-improved with the Padres, he’s still likely to have issues locating routinely in the Majors. But there’s no doubt his electric arsenal is a quality find for a big league bullpen. Last Prospect 14 Kade Morris Next Prospect 16 Ryan Lasko Athletics Prospect Headlines Top prospect De Vries headlines A's crop of non-roster invites to spring camp January 28, 2026 De Vries (No. 4 overall) leads Athletics trio on Top 100 Prospects list January 23, 2026 A's land 3 of MLB Pipeline's Top 50 int'l prospects, led by SS Colome January 15, 2026 A's excited by lefty prospect Lin, a 'Taiwanese Snellzilla' January 14, 2026 Lefty prospect Jump could make the leap for A's in '26 December 22, 2025 Eight years after winning the MLB Cup, A's prospect Shotaro Morii returns with MLB dreams December 3, 2025 A's DFA Bleday, add trio of prospects to 40-man roster November 18, 2025 These Fall League standouts could impact A's in 2026 November 15, 2025 More Prospects News Athletics Prospect Highlights 01:01 Brea",False,,none,42.857142857142854,,False,,,,,,,,,,False,,,none,53.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.7927461139896373,0.9326424870466321,0.10880829015544047,0.8134715025906736,68.31,51.72413793103448,,,,1,0.25,40.086206896551715,58.43167241379311,1.0,MLB,-1.8694445000000002,72.433334,40.0,65.96500182413794,30.0,0.6399999999999999,Mixed,47.67091762086208,23162,playerId
Steven Cruz,KCR,MLB,25.1083333,4.084034550919606,0.30508475,0.06779661,14.1,0.4,2.511628464017572,0.23728814000000004,23165,SIRP,,34,70 / 70,50 / 50,,,35 / 35,35+,FA,False,,,none,47.61904761904761,,,,,,,False,,none,66.66666666666666,,False,,,,,,,,,,False,,,none,53.84615384615385,,,,,,,Steven Cruz,KCR,P,26.0,29.0,27.0,114.0,100.0,0.2,,,6.9,19.0,87.5,,,,35.7,27.6,0.6,31.7,52.632,72.2,71.2,16.7,,0.185,0.241,0.185,0.263,2.0,0.0,0.0,5.0,0.0,8.0,60.0,19.0,97.3,99.4,0.0,,,,,none,0,0.5958549222797928,0.7875647668393783,0.8212435233160622,0.8652849740932642,74.41,,,,,0,0.0,,74.41,0.3525,MLB,-1.8916666999999983,72.70000039999998,8.8125,74.15350005999998,51.1875,0.5540999999999999,Mixed,41.993450106999994,23165,playerId
Michael Mercado,PHI,MLB,25.275,4.952923110488727,0.23735409,0.13229572,56.2,0.458064516,4.92352913556216,0.10505836999999998,23223,SIRP,,10,55 / 55,,55 / 55,40 / 40,40 / 40,40,FA,False,,,none,50.0,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,50.0,,,,,,,Michael Mercado,PHI,P,26.0,32.0,27.0,136.0,100.0,0.294,,,15.6,26.8,94.6,,,,50.0,25.0,8.7,31.7,46.324,54.7,76.9,14.7,,0.185,0.313,0.333,0.222,5.0,1.0,0.0,5.0,1.0,8.0,63.0,20.0,99.7,97.5,16.7,,,,,none,0,0.26943005181347146,0.35751295336787564,0.14507772020725385,0.20207253886010362,25.5,,,,,0,0.0,,25.5,1.0,MLB,-1.7250000000000014,70.70000000000002,25.0,32.28,35.0,0.5199999999999998,Mixed,28.41600000000001,23223,playerId
