PlayerName,Org,Level,Age,wRC+,ISO,OBP,SLG,K%,PA,BB%,playerId,fg_pos,fg_top_100,fg_org_rk,fg_hit,fg_game,fg_raw,fg_spd,fg_fv,FA/Team,mlb_top30,mlb_top30_rank,mlb_top30_scraped_date,mlb_top30_match_method,mlb_top30_match_score,mlb_player_url,mlb_top30_source_url,mlb_top30_org_slug,mlb_year,mlb_grades_json,mlb_blurb,pitcherlist_in_list,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_blurb,pitcherlist_has_blurb,pitcherlist_blurb_article_date,pitcherlist_blurb_article_url,pitcherlist_blurb_scraped_date,pitcherlist_org_rank_pl,pitcherlist_blurb_pl,pitcherlist_has_blurb_pl,pitcherlist_blurb_article_date_pl,pitcherlist_blurb_article_url_pl,pitcherlist_blurb_scraped_date_pl,p1500_in_list,p1500_org_rank,p1500_scraped_date,p1500_match_method,p1500_match_score,p1500_source_url,p1500_org_slug,p1500_org_rank_p1500,p1500_scraped_date_p1500,p1500_source_url_p1500,p1500_org_slug_p1500,ps_A_Name,ps_A_Org,ps_A_Pos,ps_A_Age,ps_A_PA,ps_A_AB,ps_A_Pitches,ps_A_Tracked%,ps_A_wOBA,ps_A_Bat Speed,ps_A_Barrel %,ps_A_BB%,ps_A_Chase%,ps_A_EV,ps_A_Max EV,ps_A_50th% EV,ps_A_90th% EV,ps_A_Hard Hit%,ps_A_K%,ps_A_L°,ps_A_Whiff%,ps_A_Swing%,ps_A_Z-Swing%,ps_A_Z-Contact%,ps_A_SwStr%,ps_A_Pull Air%,ps_A_BA,ps_A_OBP,ps_A_SLG,ps_A_BABIP,ps_A_BB,ps_A_2B,ps_A_3B,ps_A_Hits,ps_A_HR,ps_A_K,ps_A_Swings,ps_A_Whiffs,ps_A_psStuff+,ps_A_Max Velo,ps_A_Barrel%,ps_AAA_Name,ps_AAA_Org,ps_AAA_Pos,ps_AAA_Age,ps_AAA_PA,ps_AAA_AB,ps_AAA_Pitches,ps_AAA_Tracked%,ps_AAA_wOBA,ps_AAA_Bat Speed,ps_AAA_Barrel %,ps_AAA_BB%,ps_AAA_Chase%,ps_AAA_EV,ps_AAA_Max EV,ps_AAA_50th% EV,ps_AAA_90th% EV,ps_AAA_Hard Hit%,ps_AAA_K%,ps_AAA_L°,ps_AAA_Whiff%,ps_AAA_Swing%,ps_AAA_Z-Swing%,ps_AAA_Z-Contact%,ps_AAA_SwStr%,ps_AAA_Pull Air%,ps_AAA_BA,ps_AAA_OBP,ps_AAA_SLG,ps_AAA_BABIP,ps_AAA_BB,ps_AAA_2B,ps_AAA_3B,ps_AAA_Hits,ps_AAA_HR,ps_AAA_K,ps_AAA_Swings,ps_AAA_Whiffs,ps_AAA_psStuff+,ps_AAA_Max Velo,ps_AAA_Barrel%,ibw_year,ibw_rank,ibw_blurb,ibw_url,ibw_match_method,ibw_match_score,wRC+_pct,ISO_pct,OBP_pct,SLG_pct,K%_pct,SkillScore,_mlb_top30_rank_pct_rankscore,_pitcherlist_org_rank_pct_rankscore,_p1500_org_rank_pct_rankscore,_ibw_rank_pct_rankscore,RankSources,RankCoverage,RankScore,DynastyScore_65_35,SampleReliability,Proj_ETA_Bucket,AgeForLevel_Delta,AgeForLevel_Score,Proj_Confidence,Proj_Impact,Proj_Risk,Proj_HitProfile,Proj_DynastyUtility,_trend_key,trend_key_method
Carlos Narvaez,BOS,MLB,26.3472222,68.27137563799714,0.085714286,0.325,0.314285714,0.3,40,0.125,19722,C,,10.0,30 / 35,35 / 45,45 / 45,20 / 20,45,FA,False,,,none,53.84615384615385,,,,,,,False,,none,48.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.04672897196261682,0.09345794392523364,0.14953271028037382,0.056074766355140186,0.07476635514018692,8.45,,,,,0,0.0,,8.45,0.16,MLB,-0.6527777999999991,57.83333359999999,4.0,15.857500039999998,53.0,Contact,11.552541737999999,19722,playerId
J.C. Escarra,NYY,MLB,29.9361111,116.28234414520092,0.134969326,0.375661375,0.435582822,0.185185185,189,0.105820105,20084,C,,19.0,50 / 50,30 / 30,40 / 40,30 / 30,40,EAD,False,,,none,50.0,,,,,,,False,,none,45.45454545454545,,False,,,,,,,,,,False,,,none,50.0,,,,,,,J.C. Escarra,NYY,C,30.0,56.0,53.0,215.0,100.0,0.365,69.1,13.5,3.6,29.3,91.4,106.2,92.4,104.0,45.9,21.4,21.3,18.3,43.056,53.2,89.4,7.9,5.1,0.302,0.339,0.509,0.342,2.0,2.0,0.0,16.0,3.0,12.0,93.0,17.0,,,,J.C. Escarra,NYY,C,30.0,56.0,53.0,215.0,100.0,0.365,69.1,13.5,3.6,29.3,91.4,106.2,92.4,104.0,45.9,21.4,21.3,18.3,43.056,53.2,89.4,7.9,5.1,0.302,0.339,0.509,0.342,2.0,2.0,0.0,16.0,3.0,12.0,93.0,17.0,,,,,,,,none,0,0.48598130841121495,0.21495327102803738,0.5327102803738317,0.35514018691588783,0.6635514018691588,44.27,,,,,0,0.0,,44.27,0.756,MLB,2.9361111000000015,14.766666799999982,18.9,39.844500020000005,63.1,OBP,15.198358369000001,20084,playerId
CJ Alexander,ATH,NAN,28.7055555,89.39503071821555,0.184855233,0.333988212,0.43429844,0.273084479,509,0.113948919,20557,3B,,37.0,30 / 30,50 / 50,55 / 55,45 / 45,35+,FA,False,,,none,0.0,,,,,,,False,,none,43.47826086956522,,False,,,,,,,,,,False,,,none,0.0,,,,,,,CJ Alexander,FA,3B,29.0,43.0,36.0,188.0,100.0,0.283,0.0,0.0,16.3,26.3,96.1,112.3,101.0,107.8,60.0,20.9,18.7,20.5,43.915,51.5,79.4,9.0,0.5,0.194,0.326,0.278,0.231,7.0,0.0,0.0,7.0,1.0,9.0,83.0,17.0,,,,CJ Alexander,FA,3B,29.0,43.0,36.0,188.0,100.0,0.283,0.0,0.0,16.3,26.3,96.1,112.3,101.0,107.8,60.0,20.9,18.7,20.5,43.915,51.5,79.4,9.0,0.5,0.194,0.326,0.278,0.231,7.0,0.0,0.0,7.0,1.0,9.0,83.0,17.0,,,,,,,,none,0,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.36363636363636365,73.91,,,,,0,0.0,,73.91,1.0,Unknown,,,25.0,70.3235,32.0,Power,41.845575,20557,playerId
Jair Camargo,MIN,AAA,25.75,34.234955446104884,0.091603053,0.239130434,0.290076335,0.391304347,138,0.050724637,21730,C,,23.0,20 / 20,30 / 50,60 / 60,20 / 20,40,FA,False,,,none,54.54545454545454,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Jair Camargo,ATL,C/DH,26.0,18.0,18.0,65.0,100.0,0.098,0.0,0.0,0.0,48.0,92.9,109.7,95.4,102.5,55.6,44.4,13.1,40.5,56.923,62.5,72.0,23.1,1.5,0.111,0.111,0.111,0.2,0.0,0.0,0.0,2.0,0.0,8.0,37.0,15.0,,,,Jair Camargo,ATL,C/DH,26.0,18.0,18.0,65.0,100.0,0.098,0.0,0.0,0.0,48.0,92.9,109.7,95.4,102.5,55.6,44.4,13.1,40.5,56.923,62.5,72.0,23.1,1.5,0.111,0.111,0.111,0.2,0.0,0.0,0.0,2.0,0.0,8.0,37.0,15.0,,,,,,,,none,0,0.0136986301369863,0.1232876712328767,0.0136986301369863,0.0410958904109589,0.0,3.96,,,,,0,0.0,,3.96,0.552,0–1 yr,0.75,41.0,13.8,9.515999999999998,50.7,Contact,7.6372,21730,playerId
Johnathan Rodriguez,CLE,MLB,25.4083333,140.05562771357629,0.201729106,0.395061728,0.50720461,0.227160493,405,0.12345679,22530,RF,,28.0,30 / 30,45 / 55,65 / 65,40 / 40,40,FA,False,,,none,66.66666666666667,,,,,,,False,,none,48.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,350,"CLE, OF, 25.5 – Good teams know how to build depth, and Cleveland is building strong offensive depth basically at every position. It’s great for real life, but it makes it very hard to know if and when a good but not great prospect will get an opportunity. Rodriguez is in that bucket as a slugger with no defensive value. He destroyed Triple-A, slashing .301/.390/.540 with 29 homers, 8 steals, and a 25.2/12.6 K%/BB% in 118 games. The 7.2 degree launch was low, but the 92.5 MPH EV more than made up for it. He didn’t have a good MLB debut in a small sample with a .486 OPS in 40 PA, but he still put up a 91.3 MPH EV. If he gets playing time, there is little doubt that he will be fantasy relevant, but who knows when or if he will get playing time. – 2025 Projection: 18/6/24/.232/.307/.432/2 Prime Projection: 48/16/54/.244/.325/.457/ 5",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.8785046728971962,0.6355140186915887,0.794392523364486,0.7570093457943925,0.4579439252336449,73.61,,,,31.8359375,1,0.25,24.6728515625,56.481998046875,1.0,MLB,-1.591666700000001,69.10000040000001,40.0,67.7950994740625,27.0,Power+OBP,48.277794843328124,22530,playerId
George Valera,CLE,MLB,24.3833333,143.99003037487105,0.23178808,0.388235294,0.549668874,0.223529411,170,0.105882352,22541,RF,,27.0,30 / 30,45 / 55,55 / 60,45 / 45,40,FA,False,,,none,43.47826086956522,,,,,,,True,13,fuzzy,100.0,,False,1/23/2025,https://pitcherlist.com/2025-cleveland-guardians-top-fantasy-baseball-prospects/,2026-01-30,13.0,,False,1/23/2025,https://pitcherlist.com/2025-cleveland-guardians-top-fantasy-baseball-prospects/,2026-01-30,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,349,"CLE, OF, 24.4 – Add Valera to the pile of Cleveland’s strong corner depth. I don’t know who is going to emerge out of this group, but at least a few of them will emerge over the next few years, and the ones that do can definitely make an impact. Valera had injuries slow his career and allowed others to catch up to him on the depth chart, so now he’s in a dog fight like the rest of them. He had a strong year in 2024 with 17 homers, a 90.5 MPH EV and 27/12 K%/BB% in 90 games at Triple-A, showing off the power potential. He still has that damn smooth lefty swing. The best way to play Cleveland’s fringier prospects are to probably wait to see who gets the opportunity, and then pounce, rather than hold on, but in deeper leagues you probably don’t have that luxury. Something tells me that I still want to bet on Valera, but it will probably come as a strong side of a platoon bat. – 2025 Projection: 15/6/21/.221/.301/.424/1 Prime Projection: 66/23/73/.245/.327/.469/6",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.897196261682243,0.822429906542056,0.7289719626168224,0.9158878504672897,0.485981308411215,79.27,,14.28571428571429,,32.03125,2,0.5,20.941685267857146,58.85508984375,0.68,MLB,-2.6166666999999997,81.4000004,47.0,73.465027013125,30.0,Power+OBP,54.239262235906246,22541,playerId
Tirso Ornelas,SDP,MLB,25.0555555,104.96003626926982,0.159891599,0.381733021,0.449864498,0.163551401,428,0.121495327,22566,LF,,11.0,40 / 45,40 / 45,50 / 50,45 / 45,40,FDYS,True,11.0,2026-01-30,exact,100.0,https://www.mlb.com/milb/prospects/2025/padres/tirso-ornelas-672359,https://www.mlb.com/milb/prospects/2025/padres/,padres,2025.0,"{""Hit"": 50, ""Power"": 50, ""Run"": 45, ""Arm"": 50, ""Field"": 45, ""Overall"": 40}","The Padres purchased Ornelas' contract for $1.5 million in March 2017 after his time with Diablos Rojos del Mexico in Mexico City. He moved methodically through the system with solid but not stellar results and was left unprotected and unpicked in the Rule 5 Draft three times after first becoming eligible in 2021. Playing for Triple-A El Paso for a third straight season in 2024, he had his best year yet with a .297/.367/.497 line and career-high 23 homers (10th-most in the Pacific Coast League) in 128 games. He was added to the 40-man roster in July as outfield depth but never debuted and continued to produce in winter ball back home in Mexico. The left-handed slugger’s increased power output in ’24 wasn’t just a product of the hitter-friendly environs of El Paso or the PCL as a whole. His exit velocities ran above average, including his 104.8 mph 90th-percentile EV. It’s all-fields pop too, but what keeps Ornelas, who bats from an open stance with a leg kick, from a true 55-grade power projection is that he still hits the ball on the ground more than is desired. Otherwise, he doesn’t whiff on many pitches across the board and had almost even splits, though he will expand the zone in search of contact. Ornelas is a below-average runner, and his average arm strength meant he got the lion’s share of work in left field in 2024. He also sprinkled in some first base in August and September, notably after the 40-man add. He got his Major League debut at long last in 2025, but a bout of plantar fasciitis kept him out of San Diego's outfield equation for much of the summer. Last Prospect 10 Jagger Haynes Next Prospect 12 Ty Harvey Padres Prospect Headlines Potential 5-tool standout Hernandez among Padres' 2026 int'l signings January 15, 2026 Mendez has potential to provide much-needed pitching depth December 22, 2025 Padres add pair of righty prospects to 40-man in Mendez, Hawkins November 18, 2025 After Tommy John surgery, former top Draft prospect back to the mound in Fall League October 29, 2025 3 Padres prospects worth watching next year October 21, 2025 Undrafted Padres prospect Karpathios making noise in Fall League October 18, 2025 Padres No. 14 prospect King leans on NFL father's advice October 13, 2025 3 storylines to look out for on San Diego's AFL roster October 10, 2025 More Prospects News Padres Prospect Highlights 01:05 Top Prospects: Kruz Schoolcraft, LHP, Padres January 23, 2026 05:09 Miguel Mendez on rise through Minors and more January 20, 2026 0",True,10,fuzzy,100.0,,False,1/15/2026,https://pitcherlist.com/2026-san-diego-padres-top-fantasy-baseball-prospects/,2026-01-30,10.0,,False,1/15/2026,https://pitcherlist.com/2026-san-diego-padres-top-fantasy-baseball-prospects/,2026-01-30,True,8,2026-01-25,fuzzy,100.0,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,,8.0,2026-01-25,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,,Tirso Ornelas,SDP,OF,25.0,57.0,51.0,207.0,100.0,0.358,73.5,6.1,10.5,33.3,90.5,114.2,91.7,110.9,39.4,10.5,14.4,27.3,47.826,57.7,80.3,13.0,1.4,0.294,0.368,0.451,0.318,6.0,5.0,0.0,15.0,1.0,6.0,99.0,27.0,,,,Tirso Ornelas,SDP,OF,25.0,57.0,51.0,207.0,100.0,0.358,73.5,6.1,10.5,33.3,90.5,114.2,91.7,110.9,39.4,10.5,14.4,27.3,47.826,57.7,80.3,13.0,1.4,0.294,0.368,0.451,0.318,6.0,5.0,0.0,15.0,1.0,6.0,99.0,27.0,,,,2025,221,"SDP, OF, 25.1 – Ornelas was once upon a time a popular sleeper bat back in 2018 as a 19 year old, and while he didn’t have the explosion many hoped for, here he is popping back up on the radar in 2025. The 6’4”, sweet lefty swinging Ornelas slashed .297/.367/.497 with 23 homers, 7 steals, and a 16.1/9.7 K%/BB% in 128 games at Triple-A. The 87.6 MPH EV and 8.4 degree launch don’t exactly scream big time power hitter in the majors, but the raw power is definitely in there, and the contact rates were really good. It’s probably a bench bat long term, but San Diego is a very thin team right now, so Ornelas is in position to get plenty of at-bats in 2025. It’s also not out of the question for him to level up again if he can raise his launch, and his teammate Jackson Merrill is a perfect guy to talk to about that. He’s not a bad underrated proximity bat at all for deeper leagues. – 2025 Projection: 41/10/47/.238/.303/.409/2 Prime Projection: 43/12/51/.260/.321/.435/3",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.3177570093457944,0.3177570093457944,0.6074766355140186,0.42990654205607476,0.719626168224299,44.83,54.54545454545454,25.0,63.1578947368421,57.03125,4,1.0,49.32098534688995,46.401844871411484,1.0,MLB,-1.9444444999999995,73.333334,85.0,49.57705356142345,12.0,OBP,52.17634090264056,22566,playerId
Hunter Feduccia,LAD,MLB,27.8222222,123.94121542187712,0.183333333,0.395543175,0.473333333,0.214484679,359,0.150417827,23372,C,,31.0,40 / 50,30 / 30,40 / 40,30 / 30,40,FA,False,,,none,64.51612903225806,,,,,,,False,,none,64.51612903225806,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Hunter Feduccia,TBR,C,28.0,26.0,24.0,103.0,100.0,0.378,0.0,7.1,7.7,14.3,91.3,108.1,95.2,108.0,57.1,23.1,6.7,26.3,36.893,52.5,81.3,9.7,2.9,0.292,0.346,0.542,0.353,2.0,3.0,0.0,7.0,1.0,6.0,38.0,10.0,,,,Hunter Feduccia,TBR,C,28.0,26.0,24.0,103.0,100.0,0.378,0.0,7.1,7.7,14.3,91.3,108.1,95.2,108.0,57.1,23.1,6.7,26.3,36.893,52.5,81.3,9.7,2.9,0.292,0.346,0.542,0.353,2.0,3.0,0.0,7.0,1.0,6.0,38.0,10.0,,,,,,,,none,0,0.6261682242990654,0.48598130841121495,0.8037383177570093,0.6074766355140186,0.5700934579439252,62.47,,,,,0,0.0,,62.47,1.0,MLB,0.8222221999999988,40.133333600000014,25.0,59.11950004,40.22222199999999,Power+OBP,33.59710843800001,23372,playerId
Everson Pereira,NYY,MLB,23.975,128.9623371747932,0.251552795,0.363157894,0.50931677,0.289473684,380,0.12368421,23695,CF,,21.0,30 / 30,40 / 50,60 / 60,60 / 50,40,FA,False,,,none,50.0,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,50.0,,,,,,,Everson Pereira,CHW,OF,24.0,32.0,25.0,128.0,100.0,0.397,72.5,23.1,12.5,26.6,94.0,108.2,95.2,107.5,53.8,31.3,14.0,47.7,50.781,75.0,66.7,24.2,0.8,0.28,0.406,0.52,0.357,4.0,0.0,0.0,7.0,2.0,10.0,65.0,31.0,,,,Everson Pereira,CHW,OF,24.0,32.0,25.0,128.0,100.0,0.397,72.5,23.1,12.5,26.6,94.0,108.2,95.2,107.5,53.8,31.3,14.0,47.7,50.781,75.0,66.7,24.2,0.8,0.28,0.406,0.52,0.357,4.0,0.0,0.0,7.0,2.0,10.0,65.0,31.0,,,,2025,223,"NYY, OF, 24.0 – Pereira’s season ended on May 19th after undergoing elbow surgery. He was doing his usual big power, big strikeout thing before going down with the injury with 10 homers and a 32.4/8.6 K%/BB% in 40 games at Triple-A. That K rate at Triple-A is scary, and it was even worse when he got a shot in the majors in 2023 with a 38.8% K% and 43.1% whiff%. But strikeouts aside, Pereira is an exciting talent with the ability to crush the ball and above average speed. He’s basically obliterated every stop of the minors. These guys generally get a shot at some point in time, often with the Miami Marlins of the world, and the fantasy upside is worth staying patient with. With Juan Soto now officially a goner, maybe Pereira’s status in the Yankees organization gets a little bump, and even if he isn’t handed a starting job (which he won’t be), he might hang around in that next man up territory. He’s a bit more interesting to me now than he was before Soto signing with the Mets. 2025 Projection: 28/10/35/.222/.291/.424/5 Prime Projection: 71/24/78/.235/.312/.454/12 Update: Stanton injury could open the door a crack for Pereira",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.7102803738317757,0.9065420560747663,0.3925233644859813,0.7850467289719626,0.09345794392523366,61.31,,,,56.640625,1,0.25,43.896484375,55.21526953125,1.0,MLB,-3.0249999999999986,86.29999999999998,40.0,63.23008085937499,27.0,Power+OBP,49.663536386718754,23695,playerId
Ronny Mauricio,NYM,MLB,23.9916666,137.6243849873686,0.184615384,0.383561643,0.507692307,0.232876712,73,0.09589041,23698,3B,,8.0,30 / 30,45 / 60,70 / 70,40 / 40,45+,FA,False,,,none,53.84615384615385,,,,,,,False,,none,46.15384615384615,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,61,"NYM, 2B, 24.0 – I’m fighting off the prospect creep of “out of sight, out of mind,” because even when you are aware of that mind virus, it can still take a hold of you. Mauricio missed all of 2024 after undergoing surgery for a torn ACL that he suffered after a non contact injury on the bases in Winter Ball. It was deju vu all over again with Edwin Diaz tearing his knee in the WBC the off-season before that, but Diaz came back to basically full strength this season, and Mauricio can do the same in 2025. He hit the ball very hard with a 90.7 MPH EV in 26 games in the majors and a 91.1 MPH EV at Triple-A, he loves to run with 7 steals in the majors and 24 steals at Triple-A, and he gets the bat on the ball with a 18.2% K% at Triple-A. That K% jumped to 28.7% in the majors, he chases a ton, he hits the ball on the ground a lot and despite loving to run, he’s not a burner. He doesn’t really have the speed to lose, so the knee injury is definitely concerning in the stolen base department at the least.. I definitely have the pull to drop him down the rankings, but I’m fighting it with everything I have, because at full strength, Mauricio has a very fantasy friendly skillset. – 2025 Projection: 37/10/46/.248/.304/.419/8 Prime Projection: 75/22/77/.267/.325/.454/16",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.8411214953271028,0.4953271028037383,0.6355140186915887,0.7663551401869159,0.42056074766355145,65.54,,,,88.28125,1,0.25,68.41796874999999,66.5472890625,0.292,MLB,-3.0083334000000015,86.10000080000002,22.3,68.92618683875,44.7,Power+OBP,45.99178423743751,23698,playerId
