playerId,PlayerName,Org,Level,Age,PA,BB%,K%,OBP,SLG,ISO,wRC+
,Mitch Jebb,PIT,,21.3833333,153,0.111111111,0.071895424,0.381578947,0.3984375,0.1015625,114.91905904352063
,Max Anderson,DET,,21.5861111,145,0.08275862,0.179310344,0.344827586,0.4453125,0.15625,112.234754009621
,Josh Rivera,CHC,,20.975,114,0.078947368,0.245614035,0.324561403,0.446601941,0.184466019,109.76475659705646
,Cole Carrigg,COL,,21.3972222,158,0.082278481,0.208860759,0.407643312,0.6,0.25,159.38034392086985
,Connor Burns,CIN,,21.7944444,92,0.152173913,0.467391304,0.304347826,0.373333333,0.2,80.8166610003519
,Jake Gelof,LAD,,21.6,154,0.129870129,0.298701298,0.324675324,0.458646616,0.233082707,105.1433365877881
,Myles Naylor,OAK,,18.4611111,139,0.086330935,0.395683453,0.287769784,0.38095238,0.166666666,76.23546464614516
,Aidan Miller,PHI,,19.3111111,80,0.15,0.1875,0.425,0.378787878,0.075757575,125.55042660462418
,Aidan Smith,SEA,,19.1888888,84,0.119047619,0.285714285,0.321428571,0.361111111,0.152777778,88.03531604267872
,Samuel Stafura,CIN,,18.8777777,53,0.150943396,0.433962264,0.211538461,0.19047619,0.119047619,2.467447854047533
,Brandon Winokur,MIN,,18.7916666,71,0.056338028,0.323943661,0.338028169,0.545454545,0.257575758,126.75483059061456
,Mike Boeve,MIL,,21.4055555,120,0.116666666,0.208333333,0.4,0.529411764,0.205882353,139.10585266024842
,Kendall George,LAD,,18.9222222,121,0.140495867,0.165289256,0.458333333,0.42,0.05,142.59958931886302
,Yohandy Morales,WSN,,21.9777777,189,0.1005291,0.19047619,0.423280423,0.493975903,0.144578313,156.7535599878237
,Cole Foster,SFG,,21.9805555,142,0.063380281,0.316901408,0.316901408,0.461538461,0.207692308,99.429247555782
,Max Clark,DET,,18.7777777,107,0.196261682,0.233644859,0.38317757,0.376470588,0.152941177,112.75498296306216
,Anthony Huezo,HOU,,17.9138888,51,0.176470588,0.215686274,0.333333333,0.243902439,0.073170732,67.13400940510031
,Chase Jaworsky,HOU,,19.1694444,38,0.157894736,0.157894736,0.394736842,0.28125,0.0,93.60566975154416
,Roc Riggio,NYY,,21.3055555,97,0.226804123,0.24742268,0.391752577,0.219178082,0.027397261,92.49381324830767
,Dylan Campbell,LAD,,21.2472222,51,0.058823529,0.196078431,0.274509803,0.340425531,0.127659574,61.28086861458191
,Dillon Head,SDP,,18.9722222,124,0.120967741,0.153225806,0.362903225,0.4,0.133333334,98.40507452822656
,Blake Mitchell,KCR,,19.1611111,52,0.326923076,0.269230769,0.423076923,0.176470588,0.029411765,88.68032857652666
,Tavian Josenberger,BAL,,21.9388888,112,0.205357142,0.205357142,0.39090909,0.285714285,0.047619047,109.76688313986108
,George Wolkow,CHW,,17.7222222,51,0.176470588,0.333333333,0.392156862,0.325,0.1,97.05785568855916
,Devin Saltiban,PHI,,18.6305555,46,0.065217391,0.152173913,0.391304347,0.452380952,0.119047619,123.19103601490636
,Eric Bitonti,MIL,,17.8722222,48,0.1875,0.3125,0.333333333,0.41025641,0.230769231,85.71894459194543
,Cooper Pratt,MIL,,19.1194444,54,0.092592592,0.203703703,0.425925925,0.444444444,0.088888889,122.94788308175606
,Mac Horvath,BAL,,21.675,99,0.191919191,0.262626262,0.454545454,0.602564102,0.282051282,187.7270658240263
,Gino Groover,ARI,,21.4583333,112,0.071428571,0.089285714,0.348214285,0.393939393,0.111111111,101.3525167261062
,Arjun Nimmala,TOR,,17.9583333,40,0.35,0.2,0.5,0.32,0.12,149.93581265748733
,Nazzan Zanetello,BOS,,18.35,47,0.191489361,0.319148936,0.319148936,0.236842105,0.078947369,57.06059866969733
,Walker Jenkins,MIN,,18.6166666,115,0.078260869,0.12173913,0.417391304,0.571428571,0.20952381,163.12800646335288
,Kevin McGonigle,DET,,19.1194444,93,0.193548387,0.107526881,0.451612903,0.410958904,0.095890411,144.51759332249878
,Colton Ledbetter,TBR,,21.8777777,86,0.139534883,0.197674418,0.376470588,0.438356164,0.164383562,131.99148354278395
,Enrique Bradfield Jr.,BAL,,21.8305555,110,0.236363636,0.145454545,0.472727272,0.329113924,0.037974684,146.52265298310178
,Tre' Morgan,TBR,,21.2083333,56,0.142857142,0.053571428,0.482142857,0.541666666,0.145833333,186.1757490633536
,Brayden Taylor,TBR,,21.3583333,108,0.157407407,0.314814814,0.361111111,0.516483516,0.274725275,144.2193293787552
,Colt Emerson,SEA,,18.1972222,114,0.149122807,0.175438596,0.495575221,0.549450549,0.175824176,182.75544993203223
,AJ Ewing,NYM,,19.1416666,21,0.238095238,0.285714285,0.523809523,0.357142857,0.071428572,162.19165004774868
,Colin Houck,NYM,,19.0027777,36,0.194444444,0.222222222,0.388888888,0.310344827,0.068965517,100.43682082396836
,Tai Peete,SEA,,18.1388888,109,0.091743119,0.275229357,0.348623853,0.404040404,0.121212122,104.63936820380384
,Ralphy Velazquez,CLE,,18.3416666,28,0.107142857,0.178571428,0.392857142,0.739130434,0.391304348,153.17717838189705
,Alex Mooney,CLE,,21.2361111,76,0.092105263,0.171052631,0.263157894,0.212121212,0.060606061,47.85958302745579
,Moises Gomez,STL,,25.0944444,602,0.068106312,0.325581395,0.292358803,0.447897623,0.215722121,77.40598545098501
,Ronaldo Hernandez,BOS,,25.8888888,420,0.104761904,0.171428571,0.33095238,0.432960893,0.198324022,88.34433375523021
,Juan Zabala,SDP,,24.2444444,234,0.085470085,0.256410256,0.285087719,0.343137254,0.132352941,77.51431728722551
,Ricardo Genoves,SFG,,24.3805555,298,0.10738255,0.27181208,0.312080536,0.333333333,0.120155039,68.89002071040267
